company,index,ir_url,latest_report_date,latest_report_url,prior_report_date,prior_report_url,revenue_yoy_pct,eps_yoy_pct,op_margin_latest_pct,op_margin_prior_pct,guidance_change,fcf_yoy_pct,net_debt_to_ebitda,data_completeness_pct,score_growth_revenue,score_growth_eps,score_profit_margin_level,score_profit_margin_yoy,score_guidance,score_capital_fcf,score_capital_leverage,score_total,grade,ticker,sector,industry,valuation_style,valuation_model,current_price,actual_multiple,fair_multiple,multiple_ratio,fair_price,valuation_gap_pct,price_assessment
Eli Lilly,S&P 500,https://investor.lilly.com/,2025-12-31,https://www.prnewswire.com/news-releases/lilly-reports-fourth-quarter-2025-financial-results-and-provides-2026-guidance-302678376.html,2024-12-31,,42.6,51.4,46.6,42.0,unchanged,-65.0,0.73,88.9,15.0,15.0,12.0,13.0,12.0,0.0,8.8,75.8,C,LLY,Healthcare,Drug Manufacturers - General,healthcare,PE,1040.00,45.26,31.74,1.43,729.39,-29.9,Overvalued
JPMorgan Chase,S&P 500,https://www.jpmorganchase.com/ir,2025-12-31,https://www.jpmorganchase.com/ir/quarterly-earnings,2024-12-31,,,-3.7,,,unchanged,39.0,,44.4,,4.5,,,12.0,10.0,,53.0,F,JPM,Financial Services,Banks - Diversified,financials,PB,302.55,2.38,1.55,1.53,197.34,-34.8,Overvalued
Visa,S&P 500,https://investor.visa.com/,2025-12-31,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22086.html,2024-12-31,,14.6,17.4,61.8,65.6,unchanged,26.7,0.22,88.9,12.3,10.8,12.0,3.6,12.0,9.2,8.8,68.7,D+,V,Financial Services,Credit Services,financials,PE,314.08,29.49,24.86,1.19,264.78,-15.7,Overvalued
ExxonMobil,S&P 500,https://investor.exxonmobil.com/,2025-12-31,https://corporate.exxonmobil.com/news/news-releases/2026/0130-exxonmobil-announces-2025-results,2024-12-31,,,-11.0,,9.6,unchanged,-46.9,,55.6,,4.5,,,12.0,1.5,,36.0,F,XOM,Energy,Oil & Gas Integrated,energy,EV/EBITDA,148.45,11.21,6.96,1.61,92.13,-37.9,Overvalued
Johnson & Johnson,S&P 500,https://investor.jnj.com/,2025-12-31,https://investor.jnj.com/investor-news/news-details/2026/Johnson--Johnson-reports-Q4-and-Full-Year-2025-results/default.aspx,2024-12-31,,9.1,48.9,22.8,16.2,unchanged,13.1,0.98,88.9,10.5,14.1,10.0,13.0,12.0,8.0,8.8,76.4,C,JNJ,Healthcare,Drug Manufacturers - General,healthcare,PE,243.45,22.07,31.92,0.69,352.08,44.6,Undervalued
Novo Nordisk,OMXC25,https://www.novonordisk.com/investors.html,2025-12-31,https://www.novonordisk.com/content/nncorp/global/en/investors/company-announcement.html,2024-12-31,,-7.6,-4.7,40.1,42.9,unchanged,-750.8,0.64,88.9,4.5,4.5,12.0,3.6,12.0,0.0,8.8,45.4,F,NVO,Healthcare,Drug Manufacturers - General,healthcare,PE,49.57,13.54,22.62,0.60,82.79,67.0,Undervalued
Nordea,OMXC25,https://www.nordea.com/en/investors,2025-12-31,https://www.nordea.com/en/press/2026-01-29/fourth-quarter-and-full-year-results-2025,2024-09-30,,-2.3,-5.6,,,unchanged,-92.6,,55.6,4.5,4.5,,,12.0,0.0,,32.3,F,NDA-FI.HE,Financial Services,Banks - Regional,financials,PB,16.55,1.75,1.18,1.48,11.20,-32.3,Overvalued
DSV,OMXC25,https://investor.dsv.com/,2025-12-31,https://investor.dsv.com/reports-presentations,2024-09-30,,62.6,,7.8,10.0,unchanged,33.8,2.67,77.8,15.0,,3.6,3.6,12.0,9.2,5.2,57.2,F,DSV.CO,Industrials,Integrated Freight & Logistics,industrials,EV/EBITDA,1680.50,22.55,9.29,2.43,692.38,-58.8,Overvalued
Danske Bank,OMXC25,https://danskebank.com/investor-relations,2025-12-31,https://danskebank.com/news-and-insights/news-archive/press-releases/2026/pr05022026,2024-12-31,,4.6,,,,unchanged,177.0,,44.4,8.2,,,,12.0,10.0,,60.5,D-,DANSKE.CO,Financial Services,Banks - Regional,financials,PB,333.60,1.50,1.69,0.89,375.44,12.5,Fair
A.P. Moller - Maersk,OMXC25,https://investor.maersk.com/,2025-12-31,https://www.maersk.com/news/articles/2026/02/05/maersk-strong-performance-2025-business-progress,2024-12-31,,-8.7,,,,unchanged,-42.2,,44.4,4.5,,,,12.0,1.5,,36.0,F,MAERSK-B.CO,Industrials,Marine Shipping,industrials,EV/EBITDA,15025.00,36.25,6.96,5.21,2884.96,-80.8,Overvalued
MSCI World ACWI (benchmark),Benchmark,,,,,,,,,,,,,,,,,,,,,,N/A,ACWI,Broad Market Index,Diversified,broad_market,PE,145.94,23.58,20.00,1.18,123.76,-15.2,Overvalued
S&P 500 (benchmark),Benchmark,,,,,,,,,,,,,,,,,,,,,,N/A,^GSPC,Broad Market Index,Diversified,broad_market,PE,6836.17,27.45,21.00,1.31,5229.59,-23.5,Overvalued
OMXC25 (benchmark),Benchmark,,,,,,,,,,,,,,,,,,,,,,N/A,^OMXC25,Broad Market Index,Diversified,broad_market,PE,1808.53,15.73,17.50,0.90,2011.54,11.2,Fair
